ID,CAD,Estação,coordenação,Nome,Municipios,Altitude,Início,Fim,Anos,X_coord,Y_coord,TEMP_MÉD_ANUAL,CHUVA,ETP,ETR,DEF,EXC,ER/ETP
75,300,2041023,ANA,AFONSO CLAUDIO-MONTANTE,AFONSO CLÁUDIO,300,1977,2006,30,"-41,12","-20,08","23,7","1112,7","1241,6","1094,8","146,8","17,9","0,9"
76,300,2140000,ANA,BARRA DO ITAPEMIRIM (DNOS),ITAPEMIRIM,4,1977,2006,30,"-40,84","-21,01","25,4","1037,1","1470,7","1037,1","433,6","0,0","0,7"
77,300,2141014,ANA,PONTE DE ITABAPOANA,MIMOSO DO SUL,59,1977,2006,30,"-41,46","-21,21","25,4","1118,5","1487,8","1118,5","369,2","0,0","0,8"
78,300,2141015,ANA,MIMOSO DO SUL (DNOS),MIMOSO DO SUL,67,1977,2006,30,"-41,36","-21,06","25,3","1380,5","1469,5","1358,2","111,4","22,3","0,9"
79,300,2141016,ANA,SAO JOSE DO CALCADO,SÃO JOSÉ DO CALÇADO,150,1977,2006,30,"-41,65","-21,04","25,0","1355,3","1417,4","1308,8","108,6","46,5","0,9"
80,300,2141017,ANA,SAO JOSE DAS TORRES,MIMOSO DO SUL,120,1977,2006,30,"-41,24","-21,06","24,9","1447,5","1394,3","1354,4","39,9","93,0","1,0"
81,300,Inc_001,INCAPER,ALEGRE,ALEGRE,138,1977,2006,30,"-41,48","-20,75","24,4","1292,1","1322,4","1235,8","86,7","56,3","0,9"
82,300,Inc_002,INCAPER,ALFREDO CHAVES,ALFREDO CHAVES,35,1977,2006,30,"-40,73","-20,63","24,9","1554,3","1391,8","1377,6","14,2","176,6","1,0"
83,300,Inc_003,INCAPER,CRDR CENTRO SERRANO,DOMINGOS MARTINS,950,1977,2006,30,"-41,05","-20,38","18,8","1380,9","860,4","852,0","8,3","528,9","1,0"
84,300,Inc_004,INCAPER,ECOPORANGA,ECOPORANGA,250,1977,2006,30,"-40,83","-18,37","24,6","1350,2","1343,4","1277,6","65,9","72,6","1,0"
85,300,Inc_005,INCAPER,FAZ. EXP.VENDA NOVA,FAZ. EXP.VENDA NOVA,727,1977,2006,30,"-41,19","-20,38","20,6","1494,1","960,4","953,4","7,0","540,7","1,0"
86,300,Inc_006,INCAPER,ITARANA,ITARANA,245,1977,2006,30,"-40,88","-19,87","24,8","1124,3","1383,4","1124,3","259,1","0,0","0,8"
87,300,Inc_007,INMET,LINHARES,LINHARES,28,1977,2006,30,"-40,07","-19,40","24,7","1293,1","1358,1","1286,3","71,8","6,8","0,9"
88,300,Inc_008,INCAPER,MARILÂNDIA,MARILÂNDIA,104,1977,2006,30,"-40,54","-19,41","24,9","1132,0","1398,7","1132,0","266,7","0,0","0,8"
89,300,Inc_009,INCAPER,MUNIZ FREIRE,MUNIZ FREIRE,575,1977,2006,30,"-41,42","-20,47","22,6","1366,8","1117,1","1092,4","24,7","274,4","1,0"
90,300,Inc_010,INCAPER,SANTA TEREZA,SANTA TEREZA,648,1977,2006,30,"-40,56","-19,91","20,5","1478,9","954,3","953,9","0,4","525,0","1,0"
91,300,Inc_011,INCAPER,SÃO GABRIEL DA PALHA,SÃO GABRIEL DA PALHA,120,1977,2006,30,"-40,53","-18,99","24,8","1185,3","1384,4","1185,3","199,1","0,0","0,9"
92,300,Inc_012,INCAPER,SÃO JOÃO DE PETROPOLIS,SÃO JOÃO DE PETROPOLIS,150,1977,2006,30,"-40,68","-19,80","24,5","1081,7","1331,9","1081,7","250,2","0,0","0,8"
93,300,Inc_013,INMET,SÃO MATEUS,SÃO MATEUS,25,1977,2006,30,"-39,83","-18,70","24,8","1296,1","1373,6","1296,1","77,5","0,0","0,9"
